question,type,intent
海尔智家异动原因ID,train,Indicator Query
贵州茅台杀跌,train,Indicator Query
美团是不是联板，怎么能说没有呢,train,Indicator Query
海尔智家扣非净利润同比增长率,train,Indicator Query
紫金矿业上市日期,train,Indicator Query
拼多多一日融券净额,train,Indicator Query
隆基绿能固定资产折旧,train,Indicator Query
浦发银行公司邮编,train,Indicator Query
长江电力固定资产报废损失,train,Indicator Query
药明康德最新配股情况缴款起始日,train,Indicator Query
格力电器0Z轮动,train,Indicator Query
美团强势轮动_20,train,Indicator Query
阿里巴巴应付账款,train,Indicator Query
工商银行一日融资融券净额,train,Indicator Query
隆基绿能热门概念,train,Indicator Query
立讯精密估值空间中线,train,Indicator Query
恒瑞医药是行业核心吗,train,Indicator Query
中国移动基本每股收益,train,Indicator Query
万科AA股股东总人数,train,Indicator Query
立讯精密最新配股情况配股代码,train,Indicator Query
长江电力小时决策长线决策,train,Indicator Query
海尔智家抄底,train,Indicator Query
腾讯控股有正宗核聚变题材吗,train,Indicator Query
农业银行停板风向标,train,Indicator Query
药明康德接待的机构数量,train,Indicator Query
立讯精密的智能阿尔法情况,train,Indicator Query
贵州茅台营业外收入,train,Indicator Query
中国中免本月涨幅,train,Indicator Query
招商银行总资产周转率,train,Indicator Query
格力电器非流动资产处置利得,train,Indicator Query
中国移动K线形态-旭日东升,train,Indicator Query
中国石油最新分红情况股权登记,train,Indicator Query
中国石化首日开盘价,train,Indicator Query
中国石化实际发行价格,train,Indicator Query
网易最新增发情况实际发行数量,train,Indicator Query
紫金矿业的职位是什么,train,Indicator Query
比亚迪近期大宗成交额,train,Indicator Query
贵州茅台公司传真,train,Indicator Query
五粮液最新分红情况股息支付率,train,Indicator Query
腾讯控股信托持股比例,train,Indicator Query
网易主力大单,train,Indicator Query
立讯精密涨跌速度表情况如何,train,Indicator Query
长江电力发行债券收到的现金,train,Indicator Query
长江电力退市,train,Indicator Query
药明康德股票名称是什么,train,Indicator Query
海尔智家最低价,train,Indicator Query
药明康德最近违规处理次数,train,Indicator Query
浦发银行股权登记,train,Indicator Query
东方财富打压,train,Indicator Query
中国石化人均流通股,train,Indicator Query
关注建设银行的高管是谁,train,Indicator Query
美团公允价值变动收益,train,Indicator Query
腾讯控股筹码90％集中度,train,Indicator Query
立讯精密是否蓝筹,train,Indicator Query
中国中免跌停,train,Indicator Query
中国中免连涨天数,train,Indicator Query
通威股份券商持股家数,train,Indicator Query
建设银行二级市场180天增仓额,train,Indicator Query
美的集团RSI6上穿80,train,Indicator Query
建设银行席位龙虎榜上榜游资,train,Indicator Query
兴业银行的股票代码,train,Indicator Query
建设银行总负债合计,train,Indicator Query
格力电器主力资金异动流入流出状态,train,Indicator Query
京东取得投资收益收到的现金,train,Indicator Query
中国石油今日创阶段新低，多少日新低,train,Indicator Query
通威股份流动资产合计,train,Indicator Query
中国石油发行价格,train,Indicator Query
药明康德总资金仓位,train,Indicator Query
美的集团近一季度大宗成交额,train,Indicator Query
美的集团黄金坑震荡选股池,train,Indicator Query
宁德时代今日开盘至今的实时分时图。,train,Candlestick Chart
查看指南针(300803)2025年5月20日的历史分时行情。,train,Candlestick Chart
贵州茅台现在的分时线走势如何？,train,Candlestick Chart
调取中国平安昨天全天的分时成交明细图。,train,Candlestick Chart
五粮液今天早盘前一个小时的分时波动情况。,train,Candlestick Chart
展示腾讯控股在2026年2月初某天的分时走势回顾。,train,Candlestick Chart
东方财富目前的实时盘中价格波动曲线。,train,Candlestick Chart
比亚迪今日分时图中成交量波峰出现在什么时候？,train,Candlestick Chart
请显示上证指数今日的分时脉冲走势。,train,Candlestick Chart
招商银行今日分时图是否出现了均价线支撑？,train,Candlestick Chart
查看科大讯飞在2025年12月10日的盘中分时表现。,train,Candlestick Chart
中芯国际今天午后开盘后的分时图变化。,train,Candlestick Chart
展示特斯拉(TSLA)昨晚美股盘中的分时价格图。,train,Candlestick Chart
恒生指数今日分时走势中是否存在跳空缺口？,train,Candlestick Chart
获取沪深300指数今日实时的分时运行趋势。,train,Candlestick Chart
隆基绿能今日分时线与均价线的背离程度。,train,Candlestick Chart
调出顺丰控股上周五全天的分时成交历史。,train,Candlestick Chart
查看工业富联今日分时图中每一笔的大单成交明细。,train,Candlestick Chart
药明康德今日早盘的分时图振幅是多少？,train,Candlestick Chart
显示立讯精密今日收盘前的分时拉升走势。,train,Candlestick Chart
海康威视2025年国庆节前最后一个交易日的分时行情。,train,Candlestick Chart
迈瑞医疗今日分时走势是否跌破了分时均线？,train,Candlestick Chart
展示紫金矿业今日盘中的黄白两线分时运行图。,train,Candlestick Chart
中国石油今日开盘集合竞价后的分时表现。,train,Candlestick Chart
查看长江电力今日分时图中的高低点分布情况。,train,Candlestick Chart
调取阳光电源在今年1月15日的分时线走势。,train,Candlestick Chart
查看中信证券今日分时图中是否有明显的对倒迹象？,train,Candlestick Chart
格力电器今日分时行情中盘口挂单与价格的关系。,train,Candlestick Chart
展示美的集团今日全天分时图的波动率。,train,Candlestick Chart
查看京东方A今日分时图中白线（股价）的运行轨迹。,train,Candlestick Chart
调出TCL科技在2025年8月20日的盘中分时曲线。,train,Candlestick Chart
显示分众传媒今日分时图中的实时振荡区间。,train,Candlestick Chart
查看爱尔眼科今日分时走势中量价配合的情况。,train,Candlestick Chart
调取天齐锂业今日分时图中各时间点的成交金额。,train,Candlestick Chart
查看万科A今日分时图在回踩均线时的表现。,train,Candlestick Chart
展示同花顺今日盘中实时分时脉冲信号。,train,Candlestick Chart
查看北方华创今日分时图中是否有放量砸盘现象。,train,Candlestick Chart
调出通威股份昨日分时成交的完整走势图。,train,Candlestick Chart
显示片仔癀今日分时图中的多空博弈过程。,train,Candlestick Chart
若天气预测与波段决策信号冲突如何权衡,val,Knowledge Base
短线交易应锚定单日还是三日累积资金量,val,Knowledge Base
不同策略信号不一致时应如何统筹决策,val,Knowledge Base
消息榜功能在信息实时获取方面的核心亮点,val,Knowledge Base
常见的量价配合原则及其对趋势研判意义,val,Knowledge Base
龙虎榜信号与主力资金流向背离如何决策,val,Knowledge Base
账号切换导致已购功能权限未同步显示,val,Knowledge Base
移动端APP能否调取13日周期主力累积数据,val,Knowledge Base
请告知趋势活金指标在软件中的开启路径,val,Knowledge Base
遇到界面无法加载小绿锁指标时如何修复,val,Knowledge Base
武进不锈未来走势如何,val,Stock Diagnosis
华电国际基本面是否扎实,val,Stock Diagnosis
回天新材连获3A评级为何没入选潜力股,val,Stock Diagnosis
请对002602进行深度分析,val,Stock Diagnosis
银河电子现在值得关注吗,val,Stock Diagnosis
东方明珠的投资价值分析,val,Stock Diagnosis
易明医药的研报解读,val,Stock Diagnosis
603248后续还有空间吗,val,Stock Diagnosis
帮我深度拆解世纪华通,val,Stock Diagnosis
请分析002602的经营状况,val,Stock Diagnosis
中州新材的核心竞争力分析,val,Stock Diagnosis
300963目前的性价比如何,val,Stock Diagnosis
华胜天成近期表现怎么评价,val,Stock Diagnosis
中孚实业今日走势是洗盘吗,val,Stock Diagnosis
招商南油的行业地位分析,val,Stock Diagnosis
先锋电子的投资逻辑是什么,val,Stock Diagnosis
北斗星通适合长期持有吗,val,Stock Diagnosis
继续跟进分析回天新材,val,Stock Diagnosis
600215。今天涨停了还能追吗？,val,Stock Diagnosis
机器人应用领域的代表性标的,val,Stock Screening
1月7日沪深两市处于跌停状态的个股,val,Stock Screening
机器人产业链相关的上市公司有哪些,val,Stock Screening
股票市场常见的分类方式,val,Stock Screening
A股中属于AI人工智能概念的标的,val,Stock Screening
选出连续三年主营业务净利润增长的白马股,val,Stock Screening
沪深主板中脑机接口概念且底部横盘一年后放量突破的个股,val,Stock Screening
主力资金及游资高度锁定的强势股,val,Stock Screening
这两只具体的股票代码是什么,val,Stock Screening
筛选主营业务净利润实现三年连增的标的,val,Stock Screening
AI人工智能领域的热门概念股,val,Stock Screening
主力资金持续吸筹且股价横盘蓄势的个股,val,Stock Screening
科创板中属于AI人工智能概念的股票,val,Stock Screening
主力资金连续多个交易日呈现净流入的标的,val,Stock Screening
选出成长指数与分红金额均连续三个季度上升的白马股,val,Stock Screening
昨日盘中触及跌停的个股名单,val,Stock Screening
火箭发射场建设相关的概念股,val,Stock Screening
技术面上出现三把锁信号的个股,val,Stock Screening
出现3把锁信号，但是股价回调的股票,val,Stock Screening
流入资金主板股票按量比排列,val,Stock Screening
凯美特气明天应当怎样操作,val,Prediction
帮我研判一下航天智装明天走,val,Prediction
帮我研判一下多氟多未来走势,val,Prediction
研判明天走势,val,Prediction
帮我研判一下城建发展明天走势,val,Prediction
创新医疗后期走势,val,Prediction
研判一下城建股份明天走势,val,Prediction
三花智控后市如何,val,Prediction
看看后期怎样走下去，,val,Prediction
模塑科技后期走势,val,Prediction
华润并购整合最新动态,val,news
哪家公司直接控股中国电子信息集团,val,news
谁目前控股中国电子信息产业集团,val,news
上海微电子借壳哪家公司上市交易,val,news
贝隆精密股份解禁的具体日期,val,news
沪光股份定向增发的官方公告,val,news
搜索2026年1月8日商业航天相关研报,val,news
沪光股份定向增发的官方文件,val,news
002691前一交易日封单比,val,Indicator Query
11月12日九牧王人气热度,val,Indicator Query
12月11日百大集团热度值,val,Indicator Query
三花智控今日资金净流入额,val,Indicator Query
拓维信息隔夜挂单数据情况,val,Indicator Query
红相股份核心主营产品明细,val,Indicator Query
ZA026432是哪位私募席位,val,Indicator Query
五洲新春股权增发具体价格,val,Indicator Query
汽车零部件板块今日资金流入,val,Indicator Query
潍柴动力毛利与净利润占比,val,Indicator Query
xyzc技术面关键压力位点,val,Indicator Query
三花智控机构持股比例多少,val,Indicator Query
华友钴业机构持股具体占比,val,Indicator Query
华建新材12月29日高管增持,val,Indicator Query
利君股份主力持仓成本测算,val,Indicator Query
其公司海外业务营收占比,val,Indicator Query
中航光电12月15日杠杆资金,val,Indicator Query
利欧股份主力资金控盘比例,val,Indicator Query
开开实业所属具体板块划分,val,Indicator Query
600120所属行业板块分类,val,Indicator Query
中国船舶定增具体实施时间,val,Indicator Query
中航重机发行定增具体时间,val,Indicator Query
雅化集团核心业务经营范围,val,Indicator Query
华建集团筹码集中度百分比,val,Indicator Query
002691前一交易日封单比,val,Indicator Query
002691昨日封单比例数据,val,Indicator Query
11月12日九牧王人气热度,val,Indicator Query
12月11日百大集团热度值,val,Indicator Query
330327今日盘面资金动态,val,Indicator Query
中天科技股东张跃军资金进出,val,Indicator Query
格力电器持续经营净利润,val,Indicator Query
药明康德保险持股家数,val,Indicator Query
招商银行利息收入(财务费用),val,Indicator Query
同时触发三把锁与加仓信号的个股,val,Stock Screening
今日主力资金净流入规模达2.06亿的个股,val,Stock Screening
成交量显著放大且均线系统粘合的标的,val,Stock Screening
帮我挑选几只三把锁与波段指标均呈开仓态势的个股,val,Stock Screening
找出日内涨幅超过5%的活跃股票,val,Stock Screening
华为昇腾产业链相关的概念股,val,Stock Screening
单日主力资金净流入达2.06亿的具体标的,val,Stock Screening
同时具备卫星互联网、商业航天与算力的个股,val,Stock Screening
今日触发三把锁技术信号的股票,val,Stock Screening
筛选涨幅3%-5%、小市值、高换手且近期有涨停经历的个股,val,Stock Screening
寻找资金流入多但涨幅滞后的板块及其领涨个股,val,Stock Screening
处于月线级别2到3年低位区域的个股,val,Stock Screening
处于日线级别下跌周期1到3个月的个股,val,Stock Screening
筛选今日涨幅适中、市值两百亿以下且量比大于1的股票,val,Stock Screening
当前资金流入居前但整体涨幅较小的板块,val,Stock Screening
找出5日均线上穿长周期均线满3天的板块,val,Stock Screening
今日获3.6亿元大额资金流入的个股,val,Stock Screening
擒龙平台上显示处于低位区域的标的,val,Stock Screening
当前市场中热度高但估值相对低位的个股,val,Stock Screening
找出5日均线上穿多条均线满3天的概念板块,val,Stock Screening
603893目前的趋势形态如何,val,Stock Screening
找出5日线向上金叉长周期均线满5天的板块,val,Stock Screening
卫星通讯产业链的核心概念股,val,Stock Screening
找出5日均线金叉10日与20日均线的行业板块,val,Stock Screening
涨停股票,val,Stock Screening
12月26日首板，主板，非ST,val,Stock Screening
今日热门股票有哪些？,val,Stock Screening
涨幅3%一5%，量比在5以下，流通股10亿股以下，外盘大于内盘。,val,Stock Screening
目前主力拉升的股票有哪些,val,Stock Screening
特朗普对华关税的具体加征比例,val,news
近期有无影响情绪的重大事件新闻,val,news
苹果股价连跌对科技板块的影响,val,news
豁免关税后汽车厂商的盈利变化,val,news
行业组织反对加征零部件关税原因,val,news
我国AI专利占比六成的技术领域,val,news
券商回购计划中体现的维稳思路,val,news
智能投顾如何平衡AI推荐与风控,val,news
美联储降息对A股市场的逻辑影响,val,news
899050近期有哪些市场新闻动态,val,news
001296近期有哪些重大的新闻,val,news
107999近期的热点新闻资讯,val,news
近期医药行业有无新药研发动态,val,news
688536与301027所属市场新闻,val,news
上海微电子最有可能借壳上市的公司是哪位？,val,news
旋级信息重组进展如何了,val,news
山子高科发的公告说明什么,val,news
博莱雅股份回购公告,val,news
出现绿锁信号时，是否需叠加主力资金流向进行多维确认？,val,Knowledge Base
针对小绿锁误报率偏高的问题，有哪些系统性的调优方案？,val,Knowledge Base
当活跃度处于高位且主力资金呈净流出态势时，风险等级如何评估？,val,Knowledge Base
如何解析主力大单显示流出、但整体净流入金额为正的背离现象？,val,Knowledge Base
探究三步战法判断标的潜力时，多空资金指标是否存在未来函数？,val,Knowledge Base
在市场环境极度疲软下，主力资金的微量净流入是否具备参考力？,val,Knowledge Base
震荡行情中波段决策信号频繁失效，具体的优化策略为何？,val,Knowledge Base
1日/3日/13日不同周期主力数据出现方向性矛盾时，应以谁为准？,val,Knowledge Base
探讨小绿锁卖出逻辑与期权对冲策略结合的实战可行性？,val,Knowledge Base
为何部分标的完全契合三步战法形态，其实际走势却大幅偏离预期？,val,Knowledge Base
如何通过技术手段识别主力对倒行为对小绿锁信号的干扰？,val,Knowledge Base
从数据底层逻辑分析，为何ST类风险警示股不提供主力资金统计？,val,Knowledge Base
深度对比小绿锁与市面主流软件卖出指标的胜率及灵敏度。,val,Knowledge Base
在软件交互层面，如何关闭三步战法功能界面中的自选股展示？,val,Knowledge Base
用户是否拥有开放权限，可以自定义小绿锁的触发参数或阈值？,val,Knowledge Base
针对主力、敢死队及多空资金，最科学的时间周期建模应设为几日？,val,Knowledge Base
详解波段决策图中红绿柱状实心与空心形态所代表的物理意义。,val,Knowledge Base
官方是否提供波段决策算法的API接口，以支持量化程序化交易？,val,Knowledge Base
揭示大宗交易等非二级市场行为对多空资金统计分布的影响。,val,Knowledge Base
针对多空资金在不同平台间显示不一致的问题，其核心差异在哪？,val,Knowledge Base
评估波段决策信号的实时性：是否存在信号漂移、延迟或盘后回改？,val,Knowledge Base
如何利用季度财报披露的时间窗口，对主力跟踪策略进行动态调优？,val,Knowledge Base
深度解析股价强势涨停、但多空资金数据却显示净流出的归因。,val,Knowledge Base
若操作不当导致主力资金分析指标丢失，标准恢复流程是什么？,val,Knowledge Base
详述软件内置模拟撮合系统的具体操作路径与功能边界。,val,Knowledge Base
针对三步战法的虚假信号，有哪些量化验证模型可用于回测？,val,Knowledge Base
信用交易产生的买卖单是否被纳入多空资金计算范围？,val,Knowledge Base
当筹码分布集中度与波段决策买卖点冲突时，决策权重如何分配？,val,Knowledge Base
从算法层面如何界定小绿锁自带的回落止盈触发阈值？,val,Knowledge Base
为什么多空资金色块显示为做多红色，其实际成交净值却是流出的？,val,Knowledge Base
华兰股份未来表现,val,Prediction
帮研判一下和胜股份接下来一个月的走势,val,Prediction
哎 同学 我在问你 我明天该怎样操作,val,Prediction
华兰疫苗未来表现,val,Prediction
帮研判一下中航重机接下来的走势,val,Prediction
三花智控后市如何,val,Prediction
帮研判一下中航重机接下来一个月的走势,val,Prediction
国风新材后续走势怎样,val,Prediction
白酒板块未来怎样看？,val,Prediction
华能水电未来走势情况研判,val,Prediction
帮我研判下601020后续的走势,val,Prediction
华电国际未来走势情况研判,val,Prediction
白酒板块未来怎样看？,val,Prediction
雷科防务明天还会大涨吗？,val,Prediction
航天发展明天会大涨吗？,val,Prediction
沃尔核材发展前景和趋势怎样,val,Prediction
明天行情预计怎样走,val,Prediction
沪光股份未来走势情况研判,val,Prediction
德福科技后期走势,val,Prediction
300803后面的走势怎么样,val,Prediction
爱婴室后期怎么操作,val,Prediction
你好，纽约黄金还会跌吗？,val,Prediction
宁德时代未来走势情况,val,Prediction
查看三一重工今日分时走势是否符合头肩底形态。,test,Candlestick Chart
调取牧原股份今日分时图中早盘冲高回落的轨迹。,test,Candlestick Chart
显示亿纬锂能今日分时行情中的实时买卖盘明细。,test,Candlestick Chart
查看智飞生物今日分时图在下午两点后的异动。,test,Candlestick Chart
调出中租控股在2025年4月11日的历史分时图。,test,Candlestick Chart
展示科沃斯今日分时走势中的均线阻力位情况。,test,Candlestick Chart
查看隆基绿能今日分时图中每一分钟的涨跌幅变化。,test,Candlestick Chart
调取科大讯飞今日分时线在零轴上方的运行时间。,test,Candlestick Chart
显示大华股份今日分时图中的V型反转走势。,test,Candlestick Chart
查看汇川技术今日分时图中是否有明显的机构建仓痕迹。,test,Candlestick Chart
调出东方雨虹今日全天分时价格与成交量的同步走势。,test,Candlestick Chart
行业IC模块中的消息榜具体指什么,test,Knowledge Base
该项功能的核心亮点与实战价值有哪些,test,Knowledge Base
请问如何在K线图界面开启小绿锁指标,test,Knowledge Base
证券交易印花税是否属于全国统一费率,test,Knowledge Base
贵司系统是否支持虚拟货币的行情分析,test,Knowledge Base
请问如何在K线图界面开启小绿锁指标,test,Knowledge Base
决定二级市场投资胜负的核心因素是什么,test,Knowledge Base
请详解三步战法的底层逻辑与技术原理,test,Knowledge Base
该项战法在实战中的风控优势具体有哪些,test,Knowledge Base
估值指标在个股分析中的参考维度有哪些,test,Knowledge Base
如何通过估值偏离度来规避个股下行风险,test,Knowledge Base
个股突破无穷成本均线但缺乏主力支撑,test,Knowledge Base
这种量价背离的走势是否具备投资价值,test,Knowledge Base
请定义供求资金的具体计算口径与含义,test,Knowledge Base
智能阿尔法能为量化选股提供哪些支持,test,Knowledge Base
如何判定行情上涨时量价配合的健康度,test,Knowledge Base
如何观察股价下跌过程中成交量的萎缩,test,Knowledge Base
订阅三步战法长周期服务的资费标准,test,Knowledge Base
龙虎榜统计数据在盘中的具体更新周期,test,Knowledge Base
不同市况下如何修正小绿锁的信号误判,test,Knowledge Base
小绿锁是否建议配合其他技术指标共振,test,Knowledge Base
三步战法是否适用于B股市场的个股分析,test,Knowledge Base
请科普国债逆回购的操作门槛与基本逻辑,test,Knowledge Base
债基资产特性是否决定无法套用主力模型,test,Knowledge Base
如何定义股票估值及其在定价中的作用,test,Knowledge Base
波段决策给出开仓信号后的确定性评估,test,Knowledge Base
为何历史回测胜率在实战中难以完全复刻,test,Knowledge Base
请问零轴指数代表的具体含义及适用场景,test,Knowledge Base
如何理解波段决策的运作机制与信号频率,test,Knowledge Base
请告知波段决策功能开关的具体设置路径,test,Knowledge Base
利用CYS13超跌指标配合资金流向寻找买点,test,Knowledge Base
手动修改参数后系统无法实现设置自动存储,test,Knowledge Base
甄别深度研报专业性与权威性的筛选方法,test,Knowledge Base
评估研报质量时有哪些核心维度可以借鉴,test,Knowledge Base
当多空资金出现红翻绿拐点是否立即离场,test,Knowledge Base
针对并购重组概念有哪些核心的选股逻辑,test,Knowledge Base
当战法信号与实际K线趋势发生背离时,test,Knowledge Base
研判下跌过程中主力资金逆势吸筹有效性,test,Knowledge Base
002055怎么操作,test,Stock Diagnosis
我分析一下，红相股份,test,Stock Diagnosis
帮我分析下华谊兄弟,test,Stock Diagnosis
帮我分析一下华菱线缆,test,Stock Diagnosis
帮我分析欢乐家,test,Stock Diagnosis
S丅得润怎么操作,test,Stock Diagnosis
帮我分析一下安科瑞,test,Stock Diagnosis
苏州高新还会涨吗？,test,Stock Diagnosis
帮我分析一下南极光,test,Stock Diagnosis
帮我分析920906,test,Stock Diagnosis
分析下航天发展,test,Stock Diagnosis
分析一下晒铜鼓粉,test,Stock Diagnosis
帮我分析一下亿利达,test,Stock Diagnosis
银邦股份今天的主力资金都哪些在流入,test,Stock Diagnosis
帮我分析一下透景生命？,test,Stock Diagnosis
帮我分析一下法拉电子,test,Stock Diagnosis
帮我分析一下航天动力,test,Stock Diagnosis
德福科技怎么样？,test,Stock Diagnosis
银邦股份主力资金不是最近大幅流入吗,test,Stock Diagnosis
帮我分析瑞鹄模具,test,Stock Diagnosis
艾森股份怎么样,test,Stock Diagnosis
301638南网数字,test,Stock Diagnosis
汉得信息可以还持有吗,test,Stock Diagnosis
分析一下神剑股份,test,Stock Diagnosis
帮我分析下特变电工近期股价走势,test,Stock Diagnosis
帮我分析一下西部材料,test,Stock Diagnosis
杰瑞股份可以长期持有吗？,test,Stock Diagnosis
中国核电怎样,test,Stock Diagnosis
华明装备这股怎么样,test,Stock Diagnosis
你好帮我分析一下达利凯普,test,Stock Diagnosis
鹭燕医药为什么连续暴涨,test,Stock Diagnosis
帮我分析一下国机通用。,test,Stock Diagnosis
帮我分析一下格力电器,test,Stock Diagnosis
分析一下岩山科技,test,Stock Diagnosis
帮我分析一下城建发展,test,Stock Diagnosis
请分析一下贝隆精密的走势。,test,Stock Diagnosis
帮我分析一下中天科技这支股票,test,Stock Diagnosis
帮忙分析一下南大光电,test,Stock Diagnosis
润达医疗目前股东股份被冻结是利好还是利空？,test,Stock Diagnosis
帮忙分析一下000536,test,Stock Diagnosis
航天发展走势分析,test,Stock Diagnosis
300063怎么样,test,Stock Diagnosis
分析一下西子洁能,test,Stock Diagnosis
刚才给我提供的那十一只,test,Stock Screening
定向增发成本线附近的汽车配件股票。,test,Stock Screening
"// 底部放量突破（近20日跌幅＞20%，最近3日放量+突破60日线）\nREF(C/HHV(H,60),1)<0.8 AND // 近20日（近似60日线周期）跌幅＞20%\n(VOL>REF(VOL,1)*2 AND C>MA(C,60)) AND // 最近1日放量+突破60日线\nCOUNT(VOL>REF(VOL,1)*1.5,3)>=2; // 近3日有2日放量\n能帮我找出这只股票嘛",test,Stock Screening
最近两天大宗交易溢价的股票排行,test,Stock Screening
做卫星太阳能板的上市企业。,test,Stock Screening
前期下跌后现在发出起爆信号，同时满足卫星运营/商业发射+多家机构调研+主力大幅流入+合同实施推进”,test,Stock Screening
太空光伏的概念的股票,test,Stock Screening
2026年2月30日前，定增股票解禁上市企业,test,Stock Screening
商业航天加新能源股票,test,Stock Screening
做脑机接口又做军工的股票,test,Stock Screening
光伏设备加硅片加商业航天的股票,test,Stock Screening
做脑机接口的股票,test,Stock Screening
陈小群今天买了那些票,test,Stock Screening
"{'args': [""'火箭回收的上市股票名字""], 'kwargs': {'timeout': 120}}",test,Stock Screening
火箭海上回收的上市股票名字,test,Stock Screening
商业航天板块有哪些个股还可以进入买,test,Stock Screening
商业航天应用端下游低价股票,test,Stock Screening
太阳能a i卫星股票。,test,Stock Screening
太空光伏股票。,test,Stock Screening
太阳翼上市公司。,test,Stock Screening
瑞士银行，香港中央结算有限公司，摩根士丹利国际股份有限公司同时共同a股持仓,test,Stock Screening
年报业绩好的股票,test,Stock Screening
AI太空股票。,test,Stock Screening
大牛股,test,Stock Screening
瑞士银行，香港中央结算有限公司，摩根士丹利国际股份有限公司同时在a股持仓的股票,test,Stock Screening
帮我查找最近6个月定增的股票,test,Stock Screening
在太空用的光伏是那个股票,test,Stock Screening
帮我查找2025年10月份定增的股票,test,Stock Screening
25年5月一6月定增股票,test,Stock Screening
商业航天应用端低价股票,test,Stock Screening
商业航天应用端的低位龙头概念,test,Stock Screening
近期定向增发的股票,test,Stock Screening
1月9日还在锁定期内有定向增发的股票,test,Stock Screening
帮我查找2025年9月份定增的股票,test,Stock Screening
航天电子下游低位股票,test,Stock Screening
豆包AI眼镜概念股有哪些,test,Stock Screening
商业航天应用端的低位概念股票,test,Stock Screening
是向增成本附近的股票,test,Stock Screening
25年7月到8月定增的股票,test,Stock Screening
近期融资前五名的板块,test,Stock Screening
B01052成分股中融资多的是什么,test,Stock Screening
三花智控后市怎样,test,Prediction
688510未来走势情况,test,Prediction
华东数控明天走势,test,Prediction
丽珠集团后市怎样,test,Prediction
赣锋锂业未来走势，时间节点,test,Prediction
未来目标价三零零零五,test,Prediction
300087还会涨吗,test,Prediction
300058未来目标价,test,Prediction
30087还会涨吗,test,Prediction
洲际油气未来走势,test,Prediction
州际油气未来如何,test,Prediction
沈阳机床未来,test,Prediction
今天行情如何,test,Prediction
五一节之后行情会如何？,test,Prediction
指南针未来走势如何,test,Prediction
特宝生物未来的走势如何,test,Prediction
指南针未来走势如何,test,Prediction
行情预计啥时候变好,test,Prediction
行情未来走势如何,test,Prediction
最近行情如何,test,Prediction
上证指数走势如何,test,Prediction
今天A股怎么样？,test,Prediction
纳指大幅反弹，A股市场接下来走势如何？如何把握反弹机会,test,Prediction
荣科科技重组可能性,test,news
中超控股有无利好消息？,test,news
汽车电子龙头25年净利大增近60%，H1新订单超300亿，智能座舱全球首发+机器人Tier1布局双轮驱动，这是哪家公司？,test,news
那些公司发了年度预告,test,news
分析川金诺最新公告,test,news
解读川金诺年度预告,test,news
东方财富发布的2024年度股东会议公告中，通过了哪些议案,test,news
东方财富最近发布了哪些公告,test,news
东方财富2024年度可持续发展报告中关于风险管理有什么重点举措,test,news
南网储能最近的投资公告里，公司对投资风险的详细评估和应对预案具体内容是什么？,test,news
哪些股票发布了2025年报的业绩预告,test,news
长安汽车最近的业绩预告是什么时候发布的,test,news
长安汽车2025年4月14日发布的公告具体内容是什么,test,news
金地集团最新发布的业绩报告中，净利润和营业收入同比变化情况如何？,test,news
和元生物在过去一个月内发布了哪些类型的公告？,test,news
不同机构发布的关于迈瑞医疗的研报中，在盈利预测方面存在哪些差异？差异产生的原因可能是什么？,test,news
对比过去一年和最近发布的关于指南针公司的研报，对其业务发展的观点有哪些变化？,test,news
最新发布的关于半导体行业的研报中，对该行业的未来市场规模预测是多少？,test,news
国泰海通证券和东方证券对贵州茅台的评级差异是什么？背后的假设有何不同？,test,news
宁德时代2025-08的研报，核心结论是什么？给出买入/持有/卖出的理由。,test,news
华兰股份是否有股东减持计划？减持比例和时间安排对股价的影响？,test,news
哪些板块是近期政策重点关注？,test,news
仲基的腾发时间是多少。,test,Indicator Query
指南针成交量,test,Indicator Query
深高速的定向增发股东表,test,Indicator Query
涂鸦智能的股票代码是多少,test,Indicator Query
605298压力位,test,Indicator Query
300285支撑位多少,test,Indicator Query
通动力压力位在哪？,test,Indicator Query
指南针增长点,test,Indicator Query
中国石化涨跌幅,test,Indicator Query
万科A递延所得税资产减少,test,Indicator Query
东方财富报告期,test,Indicator Query
长江电力归属于少数股东的综合收益总额,test,Indicator Query
兴业银行强势轮动_60,test,Indicator Query
通威股份策略,test,Indicator Query
恒瑞医药控制股东,test,Indicator Query
紫金矿业收盘价,test,Indicator Query
东方财富营业周期,test,Indicator Query
阿里巴巴CCI超买,test,Indicator Query
海康威视是龙头股吗,test,Indicator Query
贵州茅台近一季度交易次数,test,Indicator Query
中国石化私募英雄榜减仓股数,test,Indicator Query
长江电力新股,test,Indicator Query
网易MA均线,test,Indicator Query
工商银行主力增减仓,test,Indicator Query
东方财富近一季度大宗收益率,test,Indicator Query
中国中免固定资产清理,test,Indicator Query
拼多多小时对行业轮动状态,test,Indicator Query
阿里巴巴注册资金,test,Indicator Query
浦发银行归母净利润,test,Indicator Query
中国移动营业收入,test,Indicator Query
伊利股份MACD-顶背离,test,Indicator Query
海康威视购建固定资产、无形资产和其他长期资产支付的现金,test,Indicator Query
隆基绿能私募英雄榜持有本股私募数,test,Indicator Query
智能阿尔法涨跌预测在哪？,,oos
麦T宝,,oos
出现三把锁但股价处于历史高位，是否应该买入？,,oos
波段决策提示持仓但主力资金显示流出，应以哪个为准？,,oos
出现黄金坑但主力资金仅流入1日，是否满足买入条件？,,oos
